Compound,Date,Negative,Neutral,Positive,Tweet Text,Tweets Ago,User
0.7929,Sat Nov 04 16:00:06 +0000 2017,0.0,0.719,0.281,"What would you do if you won the lottery? Buy a house? Travel? 

Rachel Lapierre set up the charity, @LHumanitaire.… https://t.co/Xu0ld6bBAn",43,@BBC
0.4877,Sat Nov 04 15:32:06 +0000 2017,0.0,0.843,0.157,"Amy Winehouse, @Adele, @LoyleCarner &amp; @EllaEyre all went to @TheBRITSchool. But it's more than just a fame academy.… https://t.co/u4UL7qZKCr",44,@BBC
0.0,Sat Nov 04 15:00:12 +0000 2017,0.0,1.0,0.0,Trucker culture is dying with automation – and with it millions of jobs. 🚛 https://t.co/UgdVkYIbFU https://t.co/71XSYxlaZt,45,@BBC
0.5994,Sat Nov 04 14:53:43 +0000 2017,0.0,0.837,0.163,"RT @BBCMOTD: Peter Crouch = super sub.

His 15th goal as a sub.

Only Defoe (23), Kanu and Solskjaer (17) have more.

https://t.co/8UftsSAX…",46,@BBC
0.0,Sat Nov 04 14:53:11 +0000 2017,0.0,1.0,0.0,"RT @BBCSport: FT England 29-10 Lebanon

Get all the reaction on @BBCTwo &amp; @5liveSport Extra 👉 https://t.co/KklI8h3yma #RLWC2017 #bbcrl #ENG…",47,@BBC
0.0,Sat Nov 04 14:52:17 +0000 2017,0.0,1.0,0.0,"RT @BBCSport: Felipe Massa will retire from #F1  at the end of this season.

Find out more👉 https://t.co/STCmQnwvzK https://t.co/eSlDcW15wV",48,@BBC
0.4588,Sat Nov 04 14:44:58 +0000 2017,0.0,0.857,0.143,"RT @BBCOne: Welcome to the family business. 

@jginorton leads an all-star cast in #McMafia. Coming soon to @BBCOne. https://t.co/We5GwJk4i0",49,@BBC
0.0,Sat Nov 04 14:26:38 +0000 2017,0.0,1.0,0.0,RT @bbcthree: This barber reminds us how small actions can make a big difference. https://t.co/YelP68UZxh,50,@BBC
0.6369,Sat Nov 04 14:26:06 +0000 2017,0.0,0.846,0.154,"Did you know there’s a best time to eat, think &amp; do sport? It’s not just our brain's clock that keeps time for us.… https://t.co/76BDqzsz7k",51,@BBC
-0.6249,Sat Nov 04 14:03:04 +0000 2017,0.362,0.638,0.0,Police discover a suspected 'WW2 bomb' is actually a big courgette. https://t.co/YyKrAVnycQ https://t.co/vdZnam8Bjt,52,@BBC
-0.3612,Sat Nov 04 13:30:07 +0000 2017,0.122,0.878,0.0,"'We have our stories, struggles &amp; power. We just need to be represented.' Meet the photographer reframing beauty.📸✊… https://t.co/bPTmyHcNfy",53,@BBC
0.0,Sat Nov 04 13:03:09 +0000 2017,0.0,1.0,0.0,🚀 ✨ Did you know that Disney is the largest consumer of fireworks in the world? More firework facts 👉… https://t.co/QLVen2LXWX,54,@BBC
0.0,Sat Nov 04 12:32:03 +0000 2017,0.0,1.0,0.0,Can’t get enough of #BluePlanet2? Take a deeper dive into the science of the show with this podcast. 👉… https://t.co/qhoRuQ0PXz,55,@BBC
-0.3182,Sat Nov 04 12:03:04 +0000 2017,0.119,0.881,0.0,"Twitter users were left confused after the name ""Sue"" was discovered etched into an Oxfordshire field. #WhoIsSue… https://t.co/VZFnZ62n7A",56,@BBC
